Date,Order ID,Product,Category,Sales,Cost,Discount,Quantity,Region,Profit
2023-01-26,a911c1b3,Headphones,Office Supplies,382.85,785.84,5,9,North,-402.99
2023-01-27,ae5f1971,Phone,Accessories,873.69,1248.79,5,9,East,-375.1
2023-01-28,d2ee11e2,Monitor,Office Supplies,446.03,543.35,20,8,East,-97.32
2023-01-29,ebfe6313,Laptop,Electronics,441.15,1236.94,15,7,North,-795.79
2023-01-30,64ee6deb,Phone,Office Supplies,1119.22,1468.94,0,1,South,-349.72
2023-01-31,df30f288,Monitor,Accessories,449.58,1002.3,10,1,South,-552.72
2023-02-01,b68a2a96,Laptop,Accessories,752.37,976.84,0,8,East,-224.47
2023-02-02,62bf5b4e,Monitor,Accessories,154.55,338.91,5,9,West,-184.36
2023-02-03,4aa6346d,Laptop,Electronics,1498.58,287.16,15,1,West,1211.42
2023-02-04,bd380ee7,Phone,Electronics,1268.68,343.5,5,2,North,925.18
2023-02-05,b2b0ff9b,Monitor,Electronics,416.46,799.82,10,3,West,-383.36
2023-02-06,9e6116ae,Printer,Office Supplies,1205.88,542.07,20,2,North,663.81
2023-02-07,598948f6,Printer,Office Supplies,370.73,316.54,15,1,West,54.19
2023-02-08,ab6131a3,Headphones,Office Supplies,337.38,1150.61,10,1,West,-813.23
2023-02-09,4d4d5c52,Keyboard,Accessories,1102.87,1431.57,10,9,East,-328.7
2023-02-10,98886fe9,Keyboard,Office Supplies,459.27,776.12,20,7,West,-316.85
2023-02-11,83507629,Monitor,Accessories,1273.05,717.69,10,1,West,555.36
2023-02-12,864ee617,Headphones,Electronics,1195.97,314.91,20,6,South,881.06
2023-02-13,87c53de2,Printer,Electronics,1863.92,1341.46,15,8,South,522.46
2023-02-14,3d11bfd1,Keyboard,Electronics,918.03,1469.42,20,6,North,-551.39
2023-02-15,e7db98e0,Mouse,Office Supplies,681.29,1438.44,20,9,West,-757.15
2023-02-16,ddc4e9f6,Monitor,Accessories,311.27,442.05,15,6,South,-130.78
2023-02-17,be4de107,Headphones,Accessories,1033.21,89.82,20,4,West,943.39
2023-02-18,4aaf292b,Mouse,Accessories,311.66,1221.46,5,4,West,-909.8
2023-02-19,66d497be,Headphones,Accessories,1366.7,1112.72,0,7,East,253.98
2023-02-20,3a5ac847,Phone,Electronics,178.54,61.29,0,7,North,117.25
2023-02-21,ba7af584,Monitor,Electronics,1791.16,704.26,0,9,North,1086.9
2023-02-22,3ea99754,Monitor,Office Supplies,393.03,1283.6,0,2,West,-890.57
2023-02-23,8250f09e,Monitor,Accessories,1800.86,766.9,20,7,West,1033.96
2023-02-24,36b53d3a,Phone,Electronics,1766.16,1096.56,10,1,North,669.6
2023-02-25,184b7fdd,Printer,Accessories,1608.88,170.57,10,3,West,1438.31
2023-02-26,e4cdccd9,Printer,Office Supplies,1952.94,907.84,20,1,East,1045.1
2023-02-27,46feee5f,Phone,Accessories,131.55,1363.85,5,8,North,-1232.3
2023-02-28,c51d40be,Laptop,Accessories,662.09,844.1,15,2,South,-182.01
2023-03-01,dd8f2fd3,Laptop,Office Supplies,982.45,873.47,20,2,East,108.98
2023-03-02,cb202059,Printer,Office Supplies,1724.63,665.92,10,9,West,1058.71
2023-03-03,7d457c0d,Headphones,Accessories,964.18,838.48,15,10,South,125.7
2023-03-04,8588d8fe,Phone,Office Supplies,1564.95,675.23,15,2,East,889.72
2023-03-05,ec2aa234,Printer,Accessories,1764.32,1365.6,15,8,North,398.72
2023-03-06,3ed0727d,Headphones,Electronics,1860.09,466.14,15,10,South,1393.95
2023-03-07,fb30075d,Printer,Office Supplies,1262.87,270.51,10,8,North,992.36
2023-03-08,093c1bf0,Mouse,Office Supplies,858.21,725.74,15,3,East,132.47
2023-03-09,37239475,Keyboard,Office Supplies,1023.06,488.13,20,7,East,534.93
2023-03-10,4217bbea,Mouse,Electronics,558.43,533.7,20,8,South,24.73
2023-03-11,d0c34971,Mouse,Accessories,1048.15,351.98,20,1,West,696.17
2023-03-12,99cfb83c,Phone,Accessories,1606.62,916.84,0,10,North,689.78
2023-03-13,2fca1e5a,Keyboard,Office Supplies,1660.81,562.58,10,1,North,1098.23
2023-03-14,9701909a,Mouse,Accessories,378.85,540.87,20,5,North,-162.02
2023-03-15,ec780e54,Mouse,Accessories,1614.44,271.35,5,4,South,1343.09
2023-03-16,6c1d3b40,Keyboard,Office Supplies,711.92,849.66,20,4,East,-137.74
2023-03-17,ce1de61c,Printer,Electronics,1612.57,1429.95,10,2,South,182.62
2023-03-18,7eb92a66,Headphones,Electronics,1705.64,1433.15,10,6,North,272.49
2023-03-19,011cf347,Phone,Accessories,1095.11,1226.28,5,6,South,-131.17
2023-03-20,1d67958f,Printer,Office Supplies,462.99,1074.31,20,2,West,-611.32
2023-03-21,9ed830aa,Headphones,Electronics,826.86,973.08,20,1,North,-146.22
2023-03-22,c0009a03,Monitor,Accessories,1575.71,78.57,15,1,East,1497.14
2023-03-23,a79d3e50,Monitor,Office Supplies,1332.54,1238.18,5,9,North,94.36
2023-03-24,054f5886,Laptop,Accessories,920.14,473.39,5,10,South,446.75
2023-03-25,19d585b0,Monitor,Accessories,435.22,355.05,5,9,South,80.17
2023-03-26,f5164957,Monitor,Electronics,789.26,503.24,20,8,East,286.02
2023-03-27,4e2097de,Monitor,Electronics,1071.7,1497.5,5,4,North,-425.8
2023-03-28,445825c3,Mouse,Electronics,730.78,529.36,15,10,South,201.42
2023-03-29,9acd6a7f,Mouse,Electronics,1315.66,446.21,10,9,East,869.45
2023-03-30,76f81db2,Headphones,Office Supplies,1025.42,650.01,0,1,East,375.41
2023-03-31,ec5b7e41,Printer,Accessories,333.53,79.62,5,6,East,253.91
2023-04-01,c9ff2628,Mouse,Office Supplies,1944.79,871.76,15,2,East,1073.03
2023-04-02,114b1e25,Laptop,Office Supplies,374.22,924.56,10,1,East,-550.34
2023-04-03,c4747c62,Monitor,Electronics,1296.82,698.74,15,8,East,598.08
2023-04-04,89ce7cf7,Monitor,Electronics,1817.0,116.79,15,3,East,1700.21
2023-04-05,eecb37c9,Keyboard,Office Supplies,659.67,1352.68,15,7,South,-693.01
2023-04-06,bfee2d2a,Headphones,Office Supplies,210.01,828.75,10,3,West,-618.74
2023-04-07,2bb31b0e,Printer,Office Supplies,1244.62,335.14,5,3,North,909.48
2023-04-08,943e4fdd,Headphones,Electronics,1482.54,1013.68,5,5,West,468.86
2023-04-09,ed2b2c30,Laptop,Accessories,448.75,1022.19,10,9,West,-573.44
2023-04-10,d29fd9d3,Mouse,Accessories,1147.39,927.09,20,4,East,220.3
2023-04-11,8e814680,Laptop,Office Supplies,1082.02,492.66,20,7,South,589.36
2023-04-12,7bf2da63,Laptop,Accessories,999.36,858.11,20,10,North,141.25
2023-04-13,9b8eb295,Headphones,Electronics,1758.24,961.46,0,2,East,796.78
2023-04-14,7b95596d,Headphones,Office Supplies,127.88,254.5,10,5,North,-126.62
2023-04-15,274db9d0,Phone,Office Supplies,867.45,679.52,0,10,South,187.93
2023-04-16,08d10881,Laptop,Office Supplies,200.21,1156.25,15,3,South,-956.04
2023-04-17,5f60aa91,Laptop,Electronics,346.17,147.39,0,7,South,198.78
2023-04-18,6ab1c1d9,Keyboard,Accessories,1153.05,765.57,10,9,South,387.48
2023-04-19,76dd1d2c,Laptop,Accessories,1233.77,732.72,10,4,East,501.05
2023-04-20,479c7710,Monitor,Accessories,298.53,331.86,5,4,West,-33.33
2023-04-21,7ce309ab,Laptop,Office Supplies,299.23,878.73,20,7,East,-579.5
2023-04-22,606caf92,Headphones,Accessories,771.3,504.36,10,2,West,266.94
2023-04-23,030b538c,Mouse,Accessories,687.88,1456.18,10,3,North,-768.3
2023-04-24,8e1f6f86,Mouse,Accessories,1080.13,1267.67,15,2,North,-187.54
2023-04-25,d599de88,Headphones,Accessories,873.28,1393.31,15,5,West,-520.03
2023-04-26,05926671,Printer,Electronics,1313.73,635.95,10,6,East,677.78
2023-04-27,97ce49e5,Monitor,Accessories,114.14,1284.58,0,7,East,-1170.44
2023-04-28,8d5d3102,Laptop,Office Supplies,296.73,1120.55,0,2,North,-823.82
2023-04-29,432f46b5,Mouse,Office Supplies,1503.62,1029.71,5,2,East,473.91
2023-04-30,cb23e361,Monitor,Electronics,295.36,684.7,15,2,North,-389.34
2023-05-01,1c26a70d,Laptop,Office Supplies,727.92,624.99,20,1,South,102.93
2023-05-02,e3604679,Keyboard,Accessories,172.61,657.09,5,10,North,-484.48
2023-05-03,049477a8,Printer,Electronics,904.49,905.91,15,5,North,-1.42
2023-05-04,553ef0d9,Phone,Accessories,1714.88,384.57,10,8,South,1330.31
2023-05-05,861ea092,Headphones,Accessories,1704.9,495.61,10,3,North,1209.29
2023-05-06,214967c0,Laptop,Accessories,1805.69,538.45,0,7,East,1267.24
2023-05-07,c3acf766,Headphones,Electronics,902.43,87.18,15,2,East,815.25
2023-05-08,bf47b428,Laptop,Accessories,415.06,816.27,15,9,North,-401.21
2023-05-09,0e584d0a,Mouse,Office Supplies,354.15,129.36,15,9,West,224.79
2023-05-10,9f3f0491,Keyboard,Accessories,1416.03,1438.24,20,4,East,-22.21
2023-05-11,17188dc9,Monitor,Electronics,354.31,1140.99,10,10,West,-786.68
2023-05-12,d1ccfea5,Printer,Accessories,253.31,104.98,15,4,South,148.33
2023-05-13,aaee4213,Printer,Office Supplies,175.54,335.82,5,2,East,-160.28
2023-05-14,ae83951d,Printer,Office Supplies,699.57,131.99,5,4,North,567.58
2023-05-15,178159c7,Laptop,Accessories,1641.19,1033.21,10,9,East,607.98
2023-05-16,9835d35c,Keyboard,Accessories,852.21,1170.13,20,2,North,-317.92
2023-05-17,71c517af,Laptop,Accessories,932.19,762.76,20,8,North,169.43
2023-05-18,747cd8d5,Headphones,Accessories,897.68,1323.28,10,9,North,-425.6
2023-05-19,4c33c94e,Phone,Accessories,1018.94,1292.2,20,8,East,-273.26
2023-05-20,392c7028,Monitor,Office Supplies,765.29,1483.79,10,5,South,-718.5
2023-05-21,2d0dd278,Mouse,Electronics,709.47,869.85,0,1,East,-160.38
2023-05-22,4b65c191,Phone,Electronics,91.98,749.46,5,6,North,-657.48
2023-05-23,0844a481,Monitor,Office Supplies,1041.64,1135.35,20,8,East,-93.71
2023-05-24,77646432,Keyboard,Electronics,975.43,341.36,5,3,North,634.07
2023-05-25,5bbc32dc,Phone,Electronics,324.15,466.96,20,2,West,-142.81
2023-05-26,a9de8b2c,Printer,Office Supplies,1649.49,238.25,10,8,West,1411.24
2023-05-27,7bb3dbcd,Laptop,Accessories,1693.35,535.3,15,8,East,1158.05
2023-05-28,f6f40ab3,Keyboard,Accessories,1556.41,449.31,15,7,North,1107.1
2023-05-29,5e687327,Mouse,Office Supplies,1086.02,1387.34,15,10,North,-301.32
2023-05-30,a7a04f6b,Printer,Electronics,773.89,1134.78,15,3,South,-360.89
2023-05-31,77a2b445,Monitor,Electronics,1477.86,1225.4,20,3,North,252.46
2023-06-01,ff35c7fc,Laptop,Office Supplies,1646.71,91.47,0,3,East,1555.24
2023-06-02,c0a0d592,Phone,Electronics,702.75,352.77,5,9,West,349.98
2023-06-03,c56c0535,Printer,Office Supplies,1403.56,1152.91,0,5,North,250.65
2023-06-04,5bfc194c,Printer,Accessories,292.99,1419.45,0,3,South,-1126.46
2023-06-05,ac4df9cc,Mouse,Electronics,1995.8,1266.65,15,3,West,729.15
2023-06-06,5ad82222,Printer,Office Supplies,1350.81,687.59,20,3,East,663.22
2023-06-07,73d3d2b8,Printer,Accessories,1310.97,738.8,15,3,West,572.17
2023-06-08,c66e7f34,Printer,Accessories,1479.03,1161.2,0,3,South,317.83
2023-06-09,0916c12e,Keyboard,Accessories,1632.42,353.37,0,7,East,1279.05
2023-06-10,b6eb2a14,Monitor,Office Supplies,1673.92,338.46,10,8,South,1335.46
2023-06-11,8fd15fce,Mouse,Office Supplies,1212.74,916.68,0,6,East,296.06
2023-06-12,bbad7066,Mouse,Electronics,73.03,1440.4,15,1,West,-1367.37
2023-06-13,0bbf33d9,Printer,Office Supplies,427.32,1195.16,20,5,South,-767.84
2023-06-14,88da6bec,Mouse,Office Supplies,321.84,1230.18,20,4,North,-908.34
2023-06-15,57cb4266,Mouse,Electronics,521.88,106.75,5,10,West,415.13
2023-06-16,89ec6947,Laptop,Office Supplies,651.7,1401.45,0,9,North,-749.75
2023-06-17,a4d8ee52,Keyboard,Electronics,1782.84,624.47,0,7,East,1158.37
2023-06-18,cce0d0be,Phone,Accessories,1010.44,1012.59,5,4,South,-2.15
2023-06-19,c0ce945b,Printer,Accessories,703.15,1012.65,0,8,North,-309.5
2023-06-20,aaadf1e7,Phone,Electronics,1874.28,944.06,5,8,East,930.22
2023-06-21,bef11c94,Printer,Accessories,1762.1,916.51,10,8,West,845.59
2023-06-22,97f7afb1,Printer,Accessories,765.4,885.71,15,9,East,-120.31
2023-06-23,893955a3,Laptop,Office Supplies,1017.63,1487.97,10,5,North,-470.34
2023-06-24,e4278c99,Laptop,Electronics,681.69,523.15,0,7,East,158.54
2023-06-25,75d51107,Phone,Electronics,668.81,869.53,0,8,South,-200.72
2023-06-26,8005d349,Keyboard,Office Supplies,1882.45,131.11,10,2,West,1751.34
2023-06-27,d8777225,Monitor,Accessories,70.89,138.0,5,6,North,-67.11
2023-06-28,ecc1d399,Phone,Electronics,1356.96,867.7,15,9,East,489.26
2023-06-29,fd4b019b,Laptop,Office Supplies,733.4,921.79,20,1,East,-188.39
2023-06-30,f08f2426,Monitor,Accessories,1685.75,1263.7,5,2,West,422.05
2023-07-01,015dc738,Keyboard,Accessories,1479.58,1129.1,10,2,South,350.48
2023-07-02,1a700922,Printer,Office Supplies,1054.59,814.08,5,7,West,240.51
2023-07-03,71284a39,Phone,Office Supplies,968.07,1208.11,5,4,West,-240.04
2023-07-04,8bce724b,Keyboard,Office Supplies,973.46,1184.44,10,10,South,-210.98
2023-07-05,9b65c199,Keyboard,Office Supplies,1253.24,806.05,15,1,East,447.19
2023-07-06,fef8c201,Monitor,Office Supplies,543.05,1450.94,10,1,South,-907.89
2023-07-07,0d2937e7,Laptop,Office Supplies,1478.11,1061.68,10,2,North,416.43
2023-07-08,270446a4,Laptop,Accessories,855.65,937.32,20,7,West,-81.67
2023-07-09,2e3f0a64,Laptop,Accessories,1865.99,1498.64,0,6,East,367.35
2023-07-10,fe744029,Printer,Electronics,619.24,1046.49,5,6,South,-427.25
2023-07-11,7bbdc81c,Mouse,Accessories,1885.51,1468.34,0,5,North,417.17
2023-07-12,4eb7f704,Headphones,Accessories,1003.25,919.33,20,6,East,83.92
2023-07-13,e6c800db,Printer,Accessories,528.1,1057.15,0,4,West,-529.05
2023-07-14,9d52b196,Keyboard,Accessories,496.93,836.31,20,1,West,-339.38
2023-07-15,3095cf27,Printer,Electronics,461.54,185.78,5,9,North,275.76
2023-07-16,6fc14d1a,Laptop,Electronics,1569.66,580.87,15,8,West,988.79
2023-07-17,bc516014,Printer,Electronics,184.94,920.93,15,4,North,-735.99
2023-07-18,63d705ae,Printer,Accessories,310.45,342.17,0,2,West,-31.72
2023-07-19,af084a8a,Monitor,Accessories,761.66,43.32,10,6,North,718.34
2023-07-20,37262,Tablet,Accessories,1460.08,947.52,0,4,North,512.56
2023-07-21,a1fb3,Printer,Accessories,571.74,403.82,10,2,South,167.92
2023-07-22,c6d22,Laptop,Electronics,1038.29,926.4,20,5,East,111.89
2023-07-23,29cc9,Headphones,Furniture,441.49,319.34,15,6,East,122.15
2023-07-24,87c57,Laptop,Furniture,1670.6,1136.77,10,5,North,533.83
2023-07-25,aee46,Printer,Electronics,784.01,551.53,0,6,North,232.48
2023-07-26,d55f0,Headphones,Electronics,765.85,435.87,10,2,West,329.98
2023-07-27,74bfc,Smartphone,Accessories,935.69,673.19,15,9,East,262.5
2023-07-28,3867f,Desk,Accessories,1577.88,1243.14,20,1,South,334.74
2023-07-29,2243b,Laptop,Accessories,1820.97,996.0,5,5,East,824.97
2023-07-30,89a4b,Printer,Accessories,710.16,548.79,20,3,East,161.37
2023-07-31,da7be,Chair,Electronics,1470.41,1048.6,15,3,North,421.81
2023-08-01,93c6b,Mouse,Electronics,859.16,609.56,0,7,North,249.6
2023-08-02,cc1d6,Chair,Accessories,1876.03,1563.94,10,6,West,312.09
2023-08-03,f0ea9,Monitor,Electronics,142.12,90.19,0,5,East,51.93
2023-08-04,9be5b,Monitor,Clothing,191.38,131.56,20,6,West,59.82
2023-08-05,91f3d,Desk,Clothing,1334.31,675.23,10,7,South,659.08
2023-08-06,e0fd4,Printer,Accessories,790.58,415.9,20,1,South,374.68
2023-08-07,f17fd,Tablet,Accessories,1239.65,703.73,10,6,West,535.92
2023-08-08,3921e,Mouse,Electronics,451.62,393.78,15,1,North,57.84
2023-07-20,2915f,Monitor,Accessories,1624.0,830.54,20,5,North,793.46
2023-07-21,c31f3,Tablet,Furniture,88.37,65.72,20,7,West,22.65
2023-07-22,82c37,Headphones,Electronics,1343.54,776.69,15,8,West,566.85
2023-07-23,cd6a3,Keyboard,Furniture,980.13,658.26,20,2,North,321.87
2023-07-24,85d58,Printer,Furniture,1054.89,545.0,10,7,North,509.89
2023-07-25,98fd3,Smartphone,Accessories,451.07,327.09,0,8,West,123.98
2023-07-26,db19a,Printer,Clothing,997.88,739.05,20,6,East,258.83
2023-07-27,c48e8,Chair,Clothing,1337.53,1127.05,5,5,North,210.48
2023-07-28,b9230,Headphones,Electronics,79.21,40.34,10,8,South,38.87
2023-07-29,7878a,Monitor,Furniture,105.62,76.79,0,1,West,28.83
2023-07-30,44536,Keyboard,Accessories,1354.51,867.82,15,4,South,486.69
2023-07-31,6ed80,Mouse,Accessories,1545.41,1190.04,15,10,North,355.37
2023-08-01,2cd00,Laptop,Electronics,1433.49,1063.41,5,9,East,370.08
2023-08-02,2df4e,Chair,Accessories,832.57,441.39,0,4,North,391.18
2023-08-03,7eb75,Headphones,Furniture,833.7,638.43,10,8,South,195.27
2023-08-04,da0f8,Headphones,Electronics,316.01,283.78,20,1,West,32.23
2023-08-05,2273a,Tablet,Furniture,393.48,222.76,20,4,East,170.72
2023-08-06,37359,Desk,Electronics,1993.24,1435.53,5,6,South,557.71
2023-08-07,a0db5,Tablet,Furniture,114.99,83.42,10,1,South,31.57
2023-08-08,bf68c,Smartphone,Clothing,1188.91,984.37,15,9,East,204.54
2023-08-09,c45ff,Mouse,Furniture,1223.38,685.47,15,3,North,537.91
2023-08-10,8d6d5,Printer,Electronics,409.85,361.1,15,6,East,48.75
2023-08-11,b1757,Smartphone,Electronics,473.0,405.92,15,1,South,67.08
2023-08-12,3e578,Monitor,Accessories,129.84,82.31,5,10,South,47.53
2023-08-13,8c1d7,Tablet,Clothing,768.27,611.59,0,3,East,156.68
2023-08-14,7eaba,Keyboard,Electronics,1158.19,869.54,10,9,North,288.65
2023-08-15,65b3d,Headphones,Accessories,1385.31,824.37,15,6,West,560.94
2023-08-16,d21bd,Chair,Electronics,1290.2,980.11,20,9,East,310.09
2023-08-17,ebc5e,Mouse,Clothing,1704.05,875.16,5,2,West,828.89
2023-08-18,d14d6,Smartphone,Clothing,991.86,820.77,15,10,West,171.09
2023-08-19,cd073,Printer,Furniture,1928.49,1002.27,0,2,North,926.22
2023-08-20,e9d67,Mouse,Accessories,661.48,370.81,10,10,East,290.67
2023-08-21,b3863,Monitor,Furniture,1306.45,951.71,0,4,West,354.74
2023-08-22,71d11,Chair,Accessories,1222.78,976.91,0,8,East,245.87
2023-08-23,38559,Headphones,Furniture,1882.68,1622.38,10,1,East,260.3
2023-08-24,7e158,Desk,Clothing,217.33,156.73,20,6,North,60.6
2023-08-25,b4983,Monitor,Clothing,1989.34,1081.24,15,2,East,908.1
2023-08-26,201dd,Mouse,Electronics,743.03,620.29,20,6,West,122.74
2023-08-27,cc184,Laptop,Clothing,623.27,445.81,5,6,North,177.46
2023-08-28,2914b,Laptop,Accessories,493.01,317.16,15,9,East,175.85
2023-08-29,a43e3,Monitor,Clothing,118.62,79.13,10,6,East,39.49
2023-08-30,6d8f7,Mouse,Clothing,1382.38,1179.22,0,5,South,203.16
2023-08-31,bf006,Smartphone,Furniture,1228.72,665.35,10,1,East,563.37
2023-09-01,eb913,Printer,Furniture,560.52,300.64,20,4,North,259.88
2023-09-02,25f58,Chair,Clothing,161.79,107.54,15,5,West,54.25
2023-09-03,3b9db,Headphones,Furniture,145.61,124.35,15,5,North,21.26
2023-09-04,dae2f,Laptop,Accessories,1739.43,941.52,10,9,South,797.91
2023-09-05,f209b,Chair,Electronics,1696.87,1114.38,0,1,West,582.49
2023-09-06,b09ea,Mouse,Electronics,1332.53,1006.07,20,3,North,326.46
2023-09-07,52b22,Monitor,Furniture,468.28,277.43,20,2,East,190.85
2023-09-08,b799f,Keyboard,Accessories,196.41,145.55,0,2,East,50.86
2023-09-09,baac6,Chair,Electronics,390.92,349.16,5,8,South,41.76
2023-09-10,bdc25,Mouse,Clothing,1717.25,1065.47,10,9,East,651.78
2023-09-11,976c4,Chair,Accessories,598.17,409.57,5,7,West,188.6
2023-09-12,851fd,Headphones,Accessories,1051.73,889.06,20,1,South,162.67
2023-09-13,7d828,Keyboard,Clothing,1371.62,907.96,10,5,East,463.66
2023-09-14,a3c96,Headphones,Accessories,1850.64,1505.52,0,7,North,345.12
2023-09-15,8d687,Printer,Furniture,1145.3,590.62,5,1,West,554.68
2023-09-16,9d7b5,Chair,Clothing,1375.24,817.86,20,10,East,557.38
2023-09-17,8c438,Laptop,Clothing,1025.69,575.58,15,1,South,450.11
2023-09-18,548f1,Laptop,Accessories,280.31,174.1,5,7,South,106.21
2023-09-19,da24a,Laptop,Electronics,214.51,153.32,20,5,South,61.19
2023-09-20,e1394,Printer,Furniture,978.12,800.16,0,10,North,177.96
2023-09-21,96667,Smartphone,Furniture,1728.43,1406.74,0,8,South,321.69
2023-09-22,cdb75,Tablet,Furniture,75.91,58.68,5,3,South,17.23
2023-09-23,485f5,Monitor,Clothing,242.77,144.48,20,4,North,98.29
2023-09-24,ed906,Mouse,Accessories,1262.5,933.37,5,8,East,329.13
2023-09-25,61d36,Keyboard,Accessories,1039.64,748.36,0,2,North,291.28
2023-09-26,52cef,Laptop,Electronics,1984.07,1516.15,0,10,West,467.92
2023-09-27,8eef6,Monitor,Electronics,227.85,137.96,10,4,East,89.89
2023-09-28,b6f2d,Keyboard,Clothing,700.42,498.99,0,6,West,201.43
2023-09-29,5aff4,Headphones,Clothing,1469.46,1163.73,0,6,West,305.73
2023-09-30,ad1aa,Keyboard,Furniture,1273.03,704.37,10,5,East,568.66
2023-10-01,87696,Keyboard,Clothing,910.73,761.62,15,2,East,149.11
2023-10-02,d0f3b,Laptop,Electronics,175.25,137.35,0,5,West,37.9
2023-10-03,c646f,Mouse,Clothing,1416.8,889.67,5,3,East,527.13
2023-10-04,74592,Printer,Furniture,1639.0,951.12,5,4,East,687.88
2023-10-05,93973,Printer,Electronics,1097.8,619.72,0,9,North,478.08
2023-10-06,dcfb4,Mouse,Furniture,1593.68,1148.33,10,8,West,445.35
2023-10-07,89fa5,Keyboard,Electronics,762.35,650.77,0,3,South,111.58
2023-10-08,e1c62,Printer,Furniture,1761.5,954.02,0,10,North,807.48
2023-10-09,d6b54,Smartphone,Electronics,163.43,145.56,15,8,South,17.87
2023-10-10,2eee9,Desk,Furniture,1017.89,524.55,15,4,West,493.34
2023-10-11,be6f8,Smartphone,Accessories,169.64,128.82,10,10,North,40.82
2023-10-12,5e98b,Headphones,Accessories,1383.6,1117.87,5,1,East,265.73
2023-10-13,ca813,Chair,Accessories,436.12,357.28,15,6,East,78.84
2023-10-14,375e7,Chair,Furniture,815.82,670.03,5,8,East,145.79
2023-10-15,7ba2d,Desk,Electronics,397.98,230.66,15,4,East,167.32
2023-10-16,73ca8,Desk,Furniture,1237.66,976.9,5,3,South,260.76
2023-10-17,c44a7,Laptop,Clothing,1774.33,1156.19,0,3,West,618.14
2023-10-18,246cd,Headphones,Furniture,1867.26,1221.43,0,8,South,645.83
2023-10-19,c66a0,Keyboard,Electronics,920.78,505.19,0,3,North,415.59
2023-10-20,3c3f2,Tablet,Clothing,1324.68,714.58,0,1,East,610.1
2023-10-21,8b660,Smartphone,Accessories,1339.7,1092.68,0,2,West,247.02
2023-10-22,83dd0,Smartphone,Accessories,237.2,132.09,5,3,East,105.11
2023-10-23,70254,Keyboard,Electronics,1595.99,1164.54,20,6,South,431.45
2023-10-24,4d3a2,Desk,Accessories,1642.8,1031.18,10,8,North,611.62
2023-10-25,9eda8,Monitor,Clothing,1754.37,1287.25,20,9,South,467.12
2023-10-26,4a288,Smartphone,Electronics,77.12,48.16,15,2,West,28.96
2023-10-27,d39b4,Laptop,Furniture,1453.68,948.18,20,8,North,505.5
2023-10-28,b3327,Tablet,Furniture,973.43,702.78,20,4,North,270.65
2023-10-29,38557,Laptop,Electronics,756.34,419.48,15,3,East,336.86
2023-10-30,7a156,Headphones,Furniture,546.99,397.19,10,2,East,149.8
2023-10-31,cac5f,Chair,Electronics,729.99,625.89,10,10,North,104.1
2023-11-01,29259,Laptop,Furniture,146.87,106.1,20,4,West,40.77
2023-11-02,acf33,Mouse,Accessories,186.68,101.19,20,2,West,85.49
2023-11-03,ce540,Smartphone,Accessories,284.76,226.31,10,7,West,58.45
2023-11-04,6f9ef,Tablet,Furniture,745.11,627.12,10,4,West,117.99
2023-11-05,d9e69,Tablet,Accessories,386.23,240.16,20,8,East,146.07
2023-11-06,dd24c,Desk,Accessories,675.47,480.36,20,2,South,195.11
2023-11-07,23ee6,Chair,Clothing,1014.46,794.69,5,6,East,219.77
